epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,87.43,0.54222,0.56373,0.01341,0.9321,0.9723,0.98693,0.90922,0.5284,0.30064,0.02245,0.000848969,0.000848969,0.000848969
43,89.3137,0.48055,0.5039,0.0123,0.85146,0.95702,0.97276,0.91651,0.39164,0.24467,0.01641,0.000834822,0.000834822,0.000834822
44,91.2209,0.52947,0.58186,0.01388,0.94982,0.98667,0.99449,0.94689,0.36869,0.18629,0.01544,0.000820675,0.000820675,0.000820675
45,93.0832,0.53523,0.51832,0.01342,0.94585,0.99576,0.99439,0.96403,0.25574,0.14997,0.01055,0.000806528,0.000806528,0.000806528
46,94.99,0.48897,0.53475,0.01234,0.94353,0.95238,0.98466,0.9441,0.35875,0.22929,0.01511,0.00079238,0.00079238,0.00079238
47,96.8794,0.48822,0.48211,0.01254,0.94149,0.92292,0.97333,0.93298,0.39511,0.24189,0.01685,0.000778233,0.000778233,0.000778233
48,98.7664,0.49206,0.59522,0.01301,0.95306,0.98046,0.99199,0.95599,0.38453,0.20322,0.01623,0.000764086,0.000764086,0.000764086
49,100.687,0.49787,0.50587,0.01273,0.98463,0.95027,0.99254,0.97638,0.29263,0.16202,0.0124,0.000749939,0.000749939,0.000749939
50,102.565,0.49273,0.46593,0.01287,0.95565,0.98421,0.99136,0.92537,0.38001,0.23084,0.01551,0.000735792,0.000735792,0.000735792
51,104.438,0.46507,0.48981,0.01194,0.93861,0.9937,0.98766,0.92536,0.37707,0.1984,0.01599,0.000721645,0.000721645,0.000721645
52,106.327,0.45442,0.44166,0.01264,0.96332,0.98532,0.99357,0.96368,0.31859,0.15865,0.01352,0.000707498,0.000707498,0.000707498
53,108.233,0.45313,0.44352,0.01168,0.96154,0.95129,0.99071,0.94147,0.39383,0.33011,0.01672,0.000693351,0.000693351,0.000693351
54,110.134,0.44849,0.44091,0.01179,0.97269,0.99491,0.99397,0.96217,0.36529,0.15393,0.01554,0.000679204,0.000679204,0.000679204
55,112.054,0.4418,0.46254,0.01114,0.97168,0.99122,0.99337,0.96035,0.31079,0.16206,0.01296,0.000665057,0.000665057,0.000665057
56,114.048,0.39592,0.4143,0.01004,0.97376,0.98113,0.99417,0.97538,0.35517,0.17403,0.01544,0.000650909,0.000650909,0.000650909
57,115.918,0.44842,0.49111,0.01092,0.98497,0.97736,0.99273,0.9727,0.29712,0.13208,0.01252,0.000636762,0.000636762,0.000636762
58,117.807,0.42923,0.41367,0.01088,0.91733,0.9801,0.98851,0.92322,0.46651,0.21163,0.02008,0.000622615,0.000622615,0.000622615
59,119.703,0.44225,0.41516,0.01087,0.99146,0.9301,0.9874,0.95742,0.29902,0.15923,0.01245,0.000608468,0.000608468,0.000608468
60,121.628,0.43756,0.41559,0.01087,0.95883,0.95947,0.9888,0.96894,0.25373,0.17465,0.01029,0.000594321,0.000594321,0.000594321
61,123.522,0.41957,0.37708,0.01076,0.97582,0.95605,0.99038,0.97902,0.2051,0.14548,0.00847,0.000580174,0.000580174,0.000580174
